Time (ns), NARMA Output (Float), Bits
50000, 0.000000, x, x, x, x, x, x, x, x, x, x
8350000, 37.013672, x, x, x, x, x, x, x, x, x, x
8450000, 34.979492, x, x, x, x, x, x, x, x, x, x
8550000, 17.020508, x, x, x, x, x, x, x, x, x, x
8650000, 16.579102, x, x, x, x, x, x, x, x, x, x
8750000, 19.167969, x, x, x, x, x, x, x, x, x, x
8850000, 18.122070, x, x, x, x, x, x, x, x, x, x
8950000, 46.461914, x, x, x, x, x, x, x, x, x, x
9050000, 23.692383, x, x, x, x, x, x, x, x, x, x
9150000, 5.104492, x, x, x, x, x, x, x, x, x, x
9250000, 15.666016, x, x, x, x, x, x, x, x, x, x
9350000, 63.185547, x, x, x, x, x, x, x, x, x, x
9450000, 26.153320, x, x, x, x, x, x, x, x, x, x
9550000, 15.867188, x, x, x, x, x, x, x, x, x, x
9650000, 41.903320, x, x, x, x, x, x, x, x, x, x
9750000, 17.625977, x, x, x, x, x, x, x, x, x, x
9850000, 10.986328, x, x, x, x, x, x, x, x, x, x
9950000, 36.454102, x, x, x, x, x, x, x, x, x, x
10050000, 27.452148, x, x, x, x, x, x, x, x, x, x
10150000, 59.104492, x, x, x, x, x, x, x, x, x, x
10250000, 26.789062, x, x, x, x, x, x, x, x, x, x
10350000, 58.031250, x, x, x, x, x, x, x, x, x, x
10450000, 54.002930, x, x, x, x, x, x, x, x, x, x
10550000, 26.902344, x, x, x, x, x, x, x, x, x, x
10650000, 58.445312, x, x, x, x, x, x, x, x, x, x
10750000, 47.696289, x, x, x, x, x, x, x, x, x, x
10850000, 16.652344, x, x, x, x, x, x, x, x, x, x
10950000, 30.504883, x, x, x, x, x, x, x, x, x, x
11050000, 9.778320, x, x, x, x, x, x, x, x, x, x
11150000, 8.593750, x, x, x, x, x, x, x, x, x, x
11250000, 60.129883, x, x, x, x, x, x, x, x, x, x
11350000, 63.476562, x, x, x, x, x, x, x, x, x, x
11450000, 34.709961, x, x, x, x, x, x, x, x, x, x
11550000, 8.305664, x, x, x, x, x, x, x, x, x, x
11650000, 57.072266, x, x, x, x, x, x, x, x, x, x
11750000, 61.072266, x, x, x, x, x, x, x, x, x, x
11850000, 12.349609, x, x, x, x, x, x, x, x, x, x
11950000, 42.187500, x, x, x, x, x, x, x, x, x, x
12050000, 35.830078, x, x, x, x, x, x, x, x, x, x
12150000, 33.075195, x, x, x, x, x, x, x, x, x, x
12250000, 60.049805, x, x, x, x, x, x, x, x, x, x
12350000, 28.495117, x, x, x, x, x, x, x, x, x, x
12450000, 60.313477, x, x, x, x, x, x, x, x, x, x
12550000, 46.539062, x, x, x, x, x, x, x, x, x, x
12650000, 53.371094, x, x, x, x, x, x, x, x, x, x
12750000, 63.950195, x, x, x, x, x, x, x, x, x, x
12850000, 16.815430, x, x, x, x, x, x, x, x, x, x
12950000, 3.333984, x, x, x, x, x, x, x, x, x, x
13050000, 62.669922, x, x, x, x, x, x, x, x, x, x
13150000, 50.211914, x, x, x, x, x, x, x, x, x, x
13250000, 18.216797, x, x, x, x, x, x, x, x, x, x
13350000, 43.589844, x, x, x, x, x, x, x, x, x, x
13450000, 60.197266, x, x, x, x, x, x, x, x, x, x
13550000, 63.896484, x, x, x, x, x, x, x, x, x, x
13650000, 40.842773, x, x, x, x, x, x, x, x, x, x
13750000, 42.537109, x, x, x, x, x, x, x, x, x, x
13850000, 37.997070, x, x, x, x, x, x, x, x, x, x
13950000, 44.324219, x, x, x, x, x, x, x, x, x, x
14050000, 9.245117, x, x, x, x, x, x, x, x, x, x
14150000, 9.501953, x, x, x, x, x, x, x, x, x, x
14250000, 23.620117, x, x, x, x, x, x, x, x, x, x
14350000, 34.213867, x, x, x, x, x, x, x, x, x, x
14450000, 30.782227, x, x, x, x, x, x, x, x, x, x
14550000, 54.991211, x, x, x, x, x, x, x, x, x, x
14650000, 50.524414, x, x, x, x, x, x, x, x, x, x
14750000, 56.459961, x, x, x, x, x, x, x, x, x, x
14850000, 29.031250, x, x, x, x, x, x, x, x, x, x
14950000, 62.396484, x, x, x, x, x, x, x, x, x, x
15050000, 44.871094, x, x, x, x, x, x, x, x, x, x
15150000, 2.757812, x, x, x, x, x, x, x, x, x, x
15250000, 26.791992, x, x, x, x, x, x, x, x, x, x
15350000, 15.596680, x, x, x, x, x, x, x, x, x, x
15450000, 51.607422, x, x, x, x, x, x, x, x, x, x
15550000, 1.861328, x, x, x, x, x, x, x, x, x, x
15650000, 60.086914, x, x, x, x, x, x, x, x, x, x
15750000, 24.586914, x, x, x, x, x, x, x, x, x, x
15850000, 57.678711, x, x, x, x, x, x, x, x, x, x
15950000, 27.140625, x, x, x, x, x, x, x, x, x, x
16050000, 49.031250, x, x, x, x, x, x, x, x, x, x
16150000, 50.042969, x, x, x, x, x, x, x, x, x, x
16250000, 18.980469, x, x, x, x, x, x, x, x, x, x
16350000, 11.321289, x, x, x, x, x, x, x, x, x, x
16450000, 29.652344, x, x, x, x, x, x, x, x, x, x
16550000, 39.966797, x, x, x, x, x, x, x, x, x, x
16650000, 55.349609, x, x, x, x, x, x, x, x, x, x
16750000, 12.213867, x, x, x, x, x, x, x, x, x, x
16850000, 21.778320, x, x, x, x, x, x, x, x, x, x
16950000, 6.068359, x, x, x, x, x, x, x, x, x, x
17050000, 17.110352, x, x, x, x, x, x, x, x, x, x
17150000, 8.253906, x, x, x, x, x, x, x, x, x, x
17250000, 31.200195, x, x, x, x, x, x, x, x, x, x
17350000, 12.988281, x, x, x, x, x, x, x, x, x, x
17450000, 25.637695, x, x, x, x, x, x, x, x, x, x
17550000, 9.533203, x, x, x, x, x, x, x, x, x, x
17650000, 41.052734, x, x, x, x, x, x, x, x, x, x
17750000, 13.375977, x, x, x, x, x, x, x, x, x, x
17850000, 45.844727, x, x, x, x, x, x, x, x, x, x
17950000, 46.165039, x, x, x, x, x, x, x, x, x, x
18050000, 41.675781, x, x, x, x, x, x, x, x, x, x
18150000, 62.234375, x, x, x, x, x, x, x, x, x, x
18250000, 4.160156, x, x, x, x, x, x, x, x, x, x
18350000, 37.776367, x, x, x, x, x, x, x, x, x, x
18450000, 61.785156, x, x, x, x, x, x, x, x, x, x
18550000, 43.572266, x, x, x, x, x, x, x, x, x, x
18650000, 7.772461, x, x, x, x, x, x, x, x, x, x
18750000, 54.261719, x, x, x, x, x, x, x, x, x, x
18850000, 6.779297, x, x, x, x, x, x, x, x, x, x
18950000, 60.053711, x, x, x, x, x, x, x, x, x, x
19050000, 60.234375, x, x, x, x, x, x, x, x, x, x
19150000, 6.037109, x, x, x, x, x, x, x, x, x, x
19250000, 27.598633, x, x, x, x, x, x, x, x, x, x
19350000, 44.588867, x, x, x, x, x, x, x, x, x, x
19450000, 32.115234, x, x, x, x, x, x, x, x, x, x
19550000, 45.250000, x, x, x, x, x, x, x, x, x, x
19650000, 54.942383, x, x, x, x, x, x, x, x, x, x
19750000, 58.058594, x, x, x, x, x, x, x, x, x, x
19850000, 47.450195, x, x, x, x, x, x, x, x, x, x
19950000, 2.584961, x, x, x, x, x, x, x, x, x, x
